Pattern,Predator,mean,std,se
Pattern,Vertebrates,0.160866911,0.14221939,0.023703232
Solid,Vertebrates,0.111263736,0.105814329,0.017635722
Pattern,Arthropods,0.2625153,0.1788212,0.02980353
Solid,Arthropods,0.3157814,0.1781561,0.02969268
